סמל היישוב,שם יישוב,מחוז,נפה,צורת יישוב,מעמד מוניציפלי,אזור טבעי,אוכלוסייה - סך הכל,מזה: יהודים ואחרים,מזה: יהודים,מזה: ערבים,אשכול רשויות מקומיות
1068,אדמית,הצפון,עכו,קיבוצים,מטה אשר,אזור אילון,265,265,231,-,אשכול רשויות גליל מערבי       
1123,אדרת,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,922,922,920,-,
446,אודים,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,חוף השרון,מערב השרון,"1,405","1,405","1,372",-,
4010,אודם,הצפון,גולן,מושבים שיתופיים,גולן,גולן צפוני,176,176,165,-,אשכול רשויות גליל מזרחי       
1046,אוהד,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,אשכול,אזור בשור,412,394,392,18,אשכול רשויות נגב מערבי        
2710,אום אל-פחם,חיפה,חדרה,יישובים לא יהודיים 99999-50000 תושבים,עירייה,הר אלכסנדר,"57,676",50,22,"57,626",
2024,אום אל-קוטוף,חיפה,חדרה,יישובים כפריים אחרים לא יהודיים,מנשה,הר אלכסנדר,"1,169",1,-,"1,168",
1358,אום בטין,הדרום,באר שבע,יישובים לא יהודיים 4999-2000 תושבים,אל קסום,אזור באר שבע,"4,705",20,13,"4,685",אשכול רשויות נגב מזרחי        
1108,אומן,הצפון,יזרעאל,יישובים כפריים אחרים יהודיים,הגלבוע,עמק יזרעאל,559,559,524,-,אשכול רשויות הגליל והעמקים    
680,אומץ,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מזרח השרון,824,823,805,1,
31,אופקים,הדרום,באר שבע,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור בשור,"33,999","33,767","31,524",232,אשכול רשויות נגב מערבי        
1294,אור הגנוז,הצפון,צפת,מושבים שיתופיים,מרום הגליל,גליל עליון מזרחי,600,600,600,-,אשכול רשויות גליל מזרחי       
67,אור הנר,הדרום,אשקלון,קיבוצים,שער הנגב,אזור אשקלון,808,808,787,-,אשכול רשויות נגב מערבי        
2400,אור יהודה,תל אביב,,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור רמת גן,"36,814","36,740","35,859",74,
1020,אור עקיבא,חיפה,חדרה,יישובים יהודיים 19999-10000 תושבים,עירייה,אזור חדרה,"19,904","19,798","18,108",106,
780,אורה,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,הרי יהודה,"1,298","1,288","1,243",10,
1771,אורון,הדרום,באר שבע,מוקד תעסוקה,רמת נגב,הר הנגב הצפוני,-,-,-,-,אשכול רשויות נגב מזרחי        
2012,אורות,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,472,472,467,-,אשכול רשויות שורק דרומי       
4013,אורטל,הצפון,גולן,קיבוצים,גולן,גולן צפוני,369,369,369,-,אשכול רשויות גליל מזרחי       
403,אורים,הדרום,באר שבע,קיבוצים,אשכול,אזור בשור,504,503,476,1,אשכול רשויות נגב מערבי        
882,אורנים,חיפה,חיפה,יישובים מוסדיים יהודיים,זבולון,אזור חיפה,61,61,61,-,אשכול רשויות המפרץ            
3760,אורנית,יהודה והשומרון,,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,,"9,113","9,096","8,959",17,אשכול יהודה ושומרון           
278,אושה,חיפה,חיפה,קיבוצים,זבולון,אזור חיפה,589,589,574,-,אשכול רשויות המפרץ            
565,אזור,תל אביב,,יישובים יהודיים 19999-10000 תושבים,מועצה מקומית,אזור חולון,"13,473","13,434","12,547",39,
1724,אזור תעסוקה משגב(תרדיון),הצפון,עכו,מוקד תעסוקה,משגב,אזור שפרעם,-,-,-,-,אשכול רשויות בית הכרם הגלילי  
1726,אזור תעשייה אכזיב (מילואות),הצפון,עכו,מוקד תעסוקה,מטה אשר,אזור נהרייה,-,-,-,-,אשכול רשויות גליל מערבי       
1727,אזור תעשייה נעמן (מילואות),הצפון,עכו,מוקד תעסוקה,מטה אשר,אזור עכו,-,-,-,-,אשכול רשויות גליל מערבי       
1157,אחווה,הדרום,אשקלון,יישובים כפריים אחרים יהודיים,באר טוביה,אזור מלאכי,279,279,272,-,אשכול רשויות שורק דרומי       
821,אחוזם,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,לכיש,אזור לכיש,551,548,529,3,
1330,אחוזת ברק,הצפון,יזרעאל,יישובים יהודיים 4999-2000 תושבים,עמק יזרעאל,עמק יזרעאל,"2,426","2,426","2,366",-,אשכול רשויות הגליל והעמקים    
785,אחיהוד,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מטה אשר,אזור עכו,916,916,908,-,אשכול רשויות גליל מערבי       
850,אחיטוב,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מזרח השרון,"1,091","1,091","1,079",-,
804,אחיסמך,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור רמלה,"1,418","1,418","1,415",-,
797,אחיעזר,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,שדות דן,אזור רמלה,"1,947","1,947","1,942",-,
338,איבים,הדרום,אשקלון,יישובים מוסדיים יהודיים,שער הנגב,אזור אשקלון,721,721,227,-,אשכול רשויות נגב מערבי        
716,אייל,המרכז,פתח תקווה,קיבוצים,דרום השרון,דרום השרון,549,549,539,-,אשכול רשויות השרון            
77,איילת השחר,הצפון,צפת,קיבוצים,הגליל העליון,עמק חולה,"1,138","1,138","1,085",-,אשכול רשויות גליל מזרחי       
294,אילון,הצפון,עכו,קיבוצים,מטה אשר,אזור אילון,"1,067","1,061","1,039",6,אשכול רשויות גליל מערבי       
1716,אילון תבור*,הצפון,יזרעאל,מוקד תעסוקה,עמק יזרעאל,רמת כוכב,-,-,-,-,אשכול רשויות הגליל והעמקים    
1126,אילות,הדרום,באר שבע,קיבוצים,חבל אילות,הערבה,362,358,325,4,אשכול רשויות נגב מזרחי        
49,אילנייה,הצפון,כנרת,מושבים - לרבות כפרים שיתופיים,הגליל התחתון,גליל תחתון מזרחי,485,480,462,5,אשכול רשויות הכנרת והעמקים    
2600,אילת,הדרום,באר שבע,יישובים יהודיים 99999-50000 תושבים,עירייה,הערבה,"52,753","50,279","41,822","2,474",
1336,אירוס,המרכז,רחובות,יישובים קהילתיים,גן רווה,אזור ראשון לציון,830,830,818,-,
3762,איתמר,יהודה והשומרון,,יישובים קהילתיים,שומרון,,"1,355","1,354","1,345",1,אשכול יהודה ושומרון           
37,איתן,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,שפיר,אזור לכיש,520,520,518,-,
886,איתנים,ירושלים,ירושלים,יישובים מוסדיים יהודיים,מטה יהודה,הרי יהודה,60,59,57,1,
478,אכסאל,הצפון,יזרעאל,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,הרי נצרת-תירען,"15,146",9,3,"15,137",אשכול רשויות הגליל והעמקים    
1359,אל סייד,הדרום,באר שבע,יישובים לא יהודיים 9999-5000 תושבים,אל קסום,אזור באר שבע,"6,288",30,14,"6,258",אשכול רשויות נגב מזרחי        
1339,אל -עזי,הדרום,אשקלון,יישובים כפריים אחרים לא יהודיים,יואב,אזור מלאכי,196,2,2,194,אשכול רשויות שורק דרומי       
1316,אל -עריאן,חיפה,חדרה,יישובים כפריים אחרים לא יהודיים,מנשה,הר אלכסנדר,191,-,-,191,
4003,אל -רום,הצפון,גולן,קיבוצים,גולן,גולן צפוני,442,442,419,-,אשכול רשויות גליל מזרחי       
1145,אלומה,הדרום,אשקלון,יישובים כפריים אחרים יהודיים,שפיר,אזור מלאכי,"1,163","1,163","1,163",-,
330,אלומות,הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,436,435,426,1,אשכול רשויות הכנרת והעמקים    
1182,אלון הגליל,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,עמק יזרעאל,הרי נצרת-תירען,"1,132","1,132","1,129",-,אשכול רשויות הגליל והעמקים    
3579,אלון מורה,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,שומרון,,"2,009","2,009","2,008",-,אשכול יהודה ושומרון           
3604,אלון שבות,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,גוש עציון,,"3,061","3,061","3,059",-,
429,אלוני אבא,הצפון,יזרעאל,מושבים שיתופיים,עמק יזרעאל,הרי נצרת-תירען,"1,000","1,000",995,-,אשכול רשויות הגליל והעמקים    
4017,אלוני הבשן,הצפון,גולן,מושבים שיתופיים,גולן,גולן צפוני,472,472,472,-,אשכול רשויות גליל מזרחי       
868,אלוני יצחק,חיפה,חדרה,יישובים מוסדיים יהודיים,מנשה,אזור חדרה,305,302,218,3,
285,אלונים,הצפון,יזרעאל,קיבוצים,עמק יזרעאל,אזור יקנעם,548,548,535,-,אשכול רשויות הגליל והעמקים    
1365,אליאב,הדרום,אשקלון,יישובים קהילתיים,לכיש,אזור לכיש,691,691,691,-,
41,אליכין,המרכז,השרון,יישובים יהודיים 4999-2000 תושבים,מועצה מקומית,מערב השרון,"3,461","3,460","3,423",1,
4002,אלי-עד,הצפון,גולן,מושבים - לרבות כפרים שיתופיים,גולן,גולן דרומי,484,484,466,-,אשכול רשויות גליל מזרחי       
1248,אליפז,הדרום,באר שבע,קיבוצים,חבל אילות,הערבה,166,160,141,6,אשכול רשויות נגב מזרחי        
730,אליפלט,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מבואות החרמון,אזור חצור,695,695,688,-,אשכול רשויות גליל מזרחי       
682,אליקים,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,מגידו,רמת מנשה,968,967,934,1,אשכול רשויות הגליל והעמקים    
204,אלישיב,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,716,716,705,-,
841,אלישמע,המרכז,פתח תקווה,מושבים - לרבות כפרים שיתופיים,דרום השרון,דרום השרון,"1,167","1,167","1,156",-,אשכול רשויות השרון            
1125,אלמגור,הצפון,כנרת,מושבים - לרבות כפרים שיתופיים,עמק הירדן,כנרות,423,423,404,-,אשכול רשויות הכנרת והעמקים    
3556,אלמוג,יהודה והשומרון,,קיבוצים,מגילות ים המלח,,256,256,249,-,אשכול יהודה ושומרון           
1309,אלעד,המרכז,פתח תקווה,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור פתח תקווה,"49,593","49,593","49,580",-,
3618,אלעזר,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,גוש עציון,,"2,561","2,561","2,557",-,
3750,אלפי מנשה,יהודה והשומרון,,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,,"7,967","7,966","7,656",1,אשכול יהודה ושומרון           
603,אלקוש,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מעלה יוסף,אזור אילון,279,279,278,-,אשכול רשויות גליל מערבי       
3560,אלקנה,יהודה והשומרון,,יישובים יהודיים 4999-2000 תושבים,מועצה מקומית,,"4,071","4,071","4,064",-,אשכול יהודה ושומרון           
772,אמונים,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,"1,011","1,011",998,-,אשכול רשויות שורק דרומי       
1064,אמירים,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מרום הגליל,גליל עליון מזרחי,871,871,816,-,אשכול רשויות גליל מזרחי       
1253,אמנון,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מבואות החרמון,אזור חצור,455,455,441,-,אשכול רשויות גליל מזרחי       
23,אמציה,הדרום,אשקלון,מושבים שיתופיים,לכיש,אזור לכיש,219,215,215,4,
4012,אניעם,הצפון,גולן,מושבים - לרבות כפרים שיתופיים,גולן,גולן תיכוני,502,502,490,-,אשכול רשויות גליל מזרחי       
3754,אספר,יהודה והשומרון,,יישובים קהילתיים,גוש עציון,,"1,114","1,114","1,114",-,
529,אעבלין,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור שפרעם,"13,693",15,4,"13,678",אשכול רשויות המפרץ            
4301,אפיק,הצפון,גולן,קיבוצים,גולן,גולן דרומי,356,356,315,-,אשכול רשויות גליל מזרחי       
176,אפיקים,הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,"1,497","1,496","1,426",1,אשכול רשויות הכנרת והעמקים    
313,אפק,הצפון,עכו,קיבוצים,מטה אשר,אזור עכו,762,754,747,8,אשכול רשויות גליל מערבי       
3650,אפרת,יהודה והשומרון,,יישובים יהודיים 19999-10000 תושבים,מועצה מקומית,,"11,804","11,804","11,772",-,
701,ארבל,הצפון,כנרת,מושבים - לרבות כפרים שיתופיים,הגליל התחתון,גליל תחתון מזרחי,766,766,754,-,אשכול רשויות הכנרת והעמקים    
3598,ארגמן,יהודה והשומרון,,מושבים - לרבות כפרים שיתופיים,ערבות הירדן,,133,133,132,-,אשכול יהודה ושומרון           
714,ארז,הדרום,אשקלון,קיבוצים,שער הנגב,אזור אשקלון,609,609,591,-,אשכול רשויות נגב מערבי        
3570,אריאל,יהודה והשומרון,,יישובים יהודיים 19999-10000 תושבים,עירייה,,"19,647","19,076","15,356",571,
1324,ארסוף,המרכז,השרון,יישובים כפריים אחרים יהודיים,חוף השרון,מערב השרון,174,174,155,-,
71,אשבול,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,מרחבים,אזור גרר,630,630,626,-,אשכול רשויות נגב מערבי        
1276,אשבל,הצפון,עכו,קיבוצים,משגב,אזור שפרעם,140,139,138,1,אשכול רשויות בית הכרם הגלילי  
70,אשדוד,הדרום,אשקלון,יישובים יהודיים 499999-200000 תושבים,עירייה,אזור אשדוד,"225,974","225,564","202,134",410,
199,אשדות יעקב (איחוד),הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,"1,019","1,015",986,4,אשכול רשויות הכנרת והעמקים    
188,אשדות יעקב (מאוחד),הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,645,641,584,4,אשכול רשויות הכנרת והעמקים    
1188,אשחר,הצפון,עכו,יישובים קהילתיים,משגב,אזור שפרעם,984,983,967,1,אשכול רשויות בית הכרם הגלילי  
3722,אשכולות,יהודה והשומרון,,יישובים קהילתיים,הר חברון,,609,609,598,-,אשכול יהודה ושומרון           
2021,אשל הנשיא,הדרום,באר שבע,יישובים מוסדיים יהודיים,מרחבים,אזור בשור,140,140,135,-,אשכול רשויות נגב מערבי        
1152,אשלים,הדרום,באר שבע,יישובים קהילתיים,רמת נגב,הר הנגב הצפוני,681,679,622,2,אשכול רשויות נגב מזרחי        
7100,אשקלון,הדרום,אשקלון,יישובים יהודיים 199999-100000 תושבים,עירייה,אזור אשקלון,"149,160","148,769","127,999",391,
1256,אשרת,הצפון,עכו,יישובים קהילתיים,מטה אשר,אזור נהרייה,584,583,579,1,אשכול רשויות גליל מערבי       
740,אשתאול,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,שפלת יהודה,"1,230","1,230","1,208",-,
6000,באקה אל-גרביה,חיפה,חדרה,יישובים לא יהודיים 49999-20000 תושבים,עירייה,אזור חדרה,"30,973",35,18,"30,938",
21,באר אורה,הדרום,באר שבע,יישובים קהילתיים,חבל אילות,הערבה,"1,220","1,193","1,122",27,אשכול רשויות נגב מזרחי        
1376,באר גנים,הדרום,אשקלון,יישובים קהילתיים,חוף אשקלון,אזור אשקלון,"1,966","1,966","1,958",-,אשכול רשויות נגב מערבי        
155,באר טוביה,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,"1,294","1,294","1,271",-,אשכול רשויות שורק דרומי       
2530,באר יעקב,המרכז,רמלה,יישובים יהודיים 49999-20000 תושבים,עירייה,אזור רמלה,"29,852","29,756","28,647",96,
1278,באר מילכה,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,רמת נגב,הר הנגב הצפוני,197,197,196,-,אשכול רשויות נגב מזרחי        
9000,באר שבע,הדרום,באר שבע,יישובים יהודיים 499999-200000 תושבים,עירייה,אזור באר שבע,"211,249","205,064","181,356","6,185",
450,בארות יצחק,המרכז,פתח תקווה,קיבוצים,חבל מודיעין,אזור פתח תקווה,469,469,467,-,
697,בארותיים,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מזרח השרון,"1,155","1,155","1,128",-,
399,בארי,הדרום,באר שבע,קיבוצים,אשכול,אזור בשור,"1,047","1,047",995,-,אשכול רשויות נגב מערבי        
559,בוסתן הגליל,הצפון,עכו,מושבים - לרבות כפרים שיתופיים,מטה אשר,אזור עכו,"1,305","1,305","1,268",-,אשכול רשויות גליל מערבי       
482,בועיינה-נוג'ידאת,הצפון,,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,הרי נצרת-תירען,"10,137",14,4,"10,123",אשכול רשויות הכנרת והעמקים    
4001,בוקעאתא,הצפון,גולן,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,גולן צפוני,"6,752",-,-,"6,752",אשכול רשויות גליל מזרחי       
698,בורגתה,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,"1,147","1,145","1,125",2,
2043,בחן,המרכז,השרון,קיבוצים,עמק חפר,מזרח השרון,"1,140","1,134","1,101",6,
762,בטחה,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,מרחבים,אזור בשור,790,790,785,-,אשכול רשויות נגב מערבי        
1725,"בי""ס אזורי מקיף (אשר)",הצפון,עכו,מוקד תעסוקה,מטה אשר,אזור נהרייה,-,-,-,-,אשכול רשויות גליל מערבי       
234,ביצרון,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,"1,248","1,248","1,237",-,אשכול רשויות שורק דרומי       
998,ביר אל-מכסור,הצפון,עכו,יישובים לא יהודיים 9999-5000 תושבים,מועצה מקומית,אזור שפרעם,"9,960",4,-,"9,956",אשכול רשויות המפרץ            
1348,ביר הדאג',הדרום,באר שבע,יישובים לא יהודיים 9999-5000 תושבים,נווה מדבר,הר הנגב הצפוני,"6,167",33,19,"6,134",אשכול רשויות נגב מזרחי        
368,בירייה,הצפון,צפת,יישובים כפריים אחרים יהודיים,מרום הגליל,גליל עליון מזרחי,849,849,841,-,אשכול רשויות גליל מזרחי       
317,בית אורן,חיפה,חדרה,קיבוצים,חוף הכרמל,אזור זכרון יעקב,560,552,528,8,
3574,בית אל,יהודה והשומרון,,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,,"5,682","5,682","5,668",-,אשכול יהודה ושומרון           
562,בית אלעזרי,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,ברנר,אזור רחובות,"1,576","1,576","1,563",-,אשכול רשויות שורק דרומי       
95,בית אלפא,הצפון,יזרעאל,קיבוצים,הגלבוע,עמק חרוד,"1,356","1,333",777,23,אשכול רשויות הגליל והעמקים    
3652,בית אריה-עופרים,יהודה והשומרון,,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,,"5,409","5,400","5,173",9,
1076,בית ברל,המרכז,פתח תקווה,יישובים מוסדיים יהודיים,דרום השרון,דרום השרון,226,183,173,43,אשכול רשויות השרון            
619,בית גוברין,הדרום,אשקלון,קיבוצים,יואב,אזור לכיש,446,446,439,-,אשכול רשויות שורק דרומי       
571,בית גמליאל,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,חבל יבנה,אזור רחובות,"1,026","1,016","1,016",10,אשכול רשויות שורק דרומי       
480,בית ג'ן,הצפון,עכו,יישובים לא יהודיים 19999-10000 תושבים,מועצה מקומית,אזור יחיעם,"12,307",1,-,"12,306",אשכול רשויות גליל מערבי       
466,בית דגן,המרכז,רמלה,יישובים יהודיים 9999-5000 תושבים,מועצה מקומית,אזור רמלה,"7,643","7,634","7,446",9,
723,בית הגדי,הדרום,באר שבע,מושבים - לרבות כפרים שיתופיים,שדות נגב,אזור גרר,887,887,887,-,אשכול רשויות נגב מערבי        
373,בית הלוי,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,840,840,832,-,
322,בית הלל,הצפון,צפת,מושבים - לרבות כפרים שיתופיים,מבואות החרמון,עמק חולה,797,797,789,-,אשכול רשויות גליל מזרחי       
572,בית העמק,הצפון,עכו,קיבוצים,מטה אשר,אזור נהרייה,730,714,679,16,אשכול רשויות גליל מערבי       
3645,בית הערבה,יהודה והשומרון,,קיבוצים,מגילות ים המלח,,451,451,448,-,אשכול יהודה ושומרון           
242,בית השיטה,הצפון,יזרעאל,קיבוצים,הגלבוע,עמק חרוד,"1,258","1,257","1,211",1,אשכול רשויות הגליל והעמקים    
353,בית זיד,הצפון,יזרעאל,יישובים כפריים אחרים יהודיים,עמק יזרעאל,אזור יקנעם,76,76,72,-,אשכול רשויות הגליל והעמקים    
710,בית זית,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,הרי יהודה,"1,655","1,655","1,616",-,
143,בית זרע,הצפון,כנרת,קיבוצים,עמק הירדן,כנרות,639,638,590,1,אשכול רשויות הכנרת והעמקים    
1712,בית חולים פוריה,הצפון,כנרת,מוקד תעסוקה,עמק הירדן,כנרות,-,-,-,-,אשכול רשויות הכנרת והעמקים    
3575,בית חורון,יהודה והשומרון,,יישובים קהילתיים,מטה בנימין,,"1,468","1,468","1,468",-,אשכול יהודה ושומרון           
877,בית חירות,המרכז,השרון,מושבים שיתופיים,עמק חפר,מערב השרון,904,904,891,-,
2033,בית חלקיה,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,נחל שורק,אזור רחובות,"1,446","1,446","1,446",-,אשכול רשויות שורק דרומי       
159,בית חנן,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,גן רווה,אזור ראשון לציון,523,522,520,1,
800,בית חנניה,חיפה,חדרה,מושבים - לרבות כפרים שיתופיים,חוף הכרמל,אזור חדרה,924,924,897,-,
1050,בית חשמונאי,המרכז,רמלה,יישובים יהודיים 4999-2000 תושבים,גזר,אזור רמלה,"2,166","2,166","2,152",-,
288,בית יהושע,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,חוף השרון,מערב השרון,"1,118","1,118","1,096",-,
265,בית יוסף,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,עמק המעיינות,עמק בית שאן,488,488,486,-,אשכול רשויות הכנרת והעמקים    
200,בית ינאי,המרכז,השרון,מושבים - לרבות כפרים שיתופיים,עמק חפר,מערב השרון,363,363,359,-,
326,בית יצחק-שער חפר,המרכז,השרון,מושבים 4999-2000 תושבים,עמק חפר,מערב השרון,"2,144","2,144","2,112",-,
430,בית לחם הגלילית,הצפון,יזרעאל,מושבים - לרבות כפרים שיתופיים,עמק יזרעאל,הרי נצרת-תירען,823,822,806,1,אשכול רשויות הגליל והעמקים    
751,בית מאיר,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,הרי יהודה,818,818,818,-,
784,בית נחמיה,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור רמלה,893,893,884,-,
16,בית ניר,הדרום,אשקלון,קיבוצים,יואב,אזור לכיש,616,616,602,-,אשכול רשויות שורק דרומי       
672,בית נקופה,ירושלים,ירושלים,מושבים - לרבות כפרים שיתופיים,מטה יהודה,הרי יהודה,758,758,737,-,
202,בית עובד,המרכז,רחובות,מושבים - לרבות כפרים שיתופיים,גן רווה,אזור ראשון לציון,253,253,252,-,
301,בית עוזיאל,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,גזר,אזור רמלה,649,649,643,-,
756,בית עזרא,הדרום,אשקלון,מושבים - לרבות כפרים שיתופיים,באר טוביה,אזור מלאכי,"1,104","1,103","1,077",1,אשכול רשויות שורק דרומי       
604,בית עריף,המרכז,רמלה,מושבים - לרבות כפרים שיתופיים,חבל מודיעין,אזור רמלה,"1,202","1,201","1,184",1,
212,בית צבי,חיפה,חדרה,יישובים מוסדיים יהודיים,חוף הכרמל,חוף הכרמל,310,310,309,-,
598,בית קמה,הדרום,באר שבע,קיבוצים,בני שמעון,אזור גרר,"1,420","1,420","1,409",-,אשכול רשויות נגב מערבי        
